Weights Matrix
7.191721948402373243e+01
5.505159402944842384e+01
7.110347246723692649e+01
6.885151615106060774e+01
3.811603337258907231e+01
4.597522154123562643e+01
9.365883660172254110e+01
7.993383706143542611e+01
8.401327071915761735e+01
3.273845370368799479e+01
6.850509335096607799e+01
3.680164656995294337e+01
5.717244229137794065e+01
6.947457404401937708e+01
7.708304173205776522e+01
-4.395603851995873811e+03
7.634800188969148849e+01
7.191721948402373243e+01
5.394731784217724169e+01
5.143133515045946069e+01
7.191721948402373243e+01
7.599401838223411687e+01
	Components
θh	44.37399019458812
θH	-1357.9981424290877
θN	2.084539644481606
