	Results	σx
m	-0.0204728291080869	0.13551941740244536
σΔΗ	-5.099202041690181e-06	6.007233007500362e-05
σΔΝ	-0.0195657789862147	0.0036228733957756076
Points	Initial_Dif	After_LSE_Dif	Estimation_Errors
0	-0.8520000000000039	-0.8330310633238966	-0.018968936676107218
1	-0.8748999999999967	-0.8349326864714423	-0.03996731352855443
2	-0.9388999999999967	-0.8336773095895998	-0.10522269041039689
3	-0.8059000000000012	-0.8354423145814514	0.02954231458145018
4	-0.7968000000000117	-0.7865792528453643	-0.01022074715464738
5	-0.6906999999999925	-0.7967330116749832	0.10603301167499068
6	-0.6845999999999748	-0.7980163779126588	0.113416377912684
7	-0.7085999999999899	-0.7945358579046854	0.08593585790469549
8	-0.6863000000000028	-0.794670044173077	0.10837004417307416
9	-0.704199999999993	-0.7979395759587826	0.09373957595878957
10	-0.5372999999999983	-0.5413752503190425	0.00407525031904421
11	-0.4711999999999854	-0.5566091307367301	0.08540913073674472
12	-0.5802000000000191	-0.5443322132206494	-0.03586778677936975
13	-0.5561999999999614	-0.5591393689415518	0.0029393689415904145
14	-0.8709000000000131	-0.7381178398503175	-0.13278216014969557
15	-0.797900000000098	-0.7537708698050456	-0.04412913019505238
16	-0.826599999999921	-0.7683770131701995	-0.05822298682972149
17	-0.7716999999999459	-0.7573361731612835	-0.01436382683866233
18	-0.8125999999999962	-0.7601779093622332	-0.05242209063776304
19	-0.9024999999999395	-0.7670448581550712	-0.1354551418448683
20	-0.734400000000015	-0.7815202193321182	0.0471202193321032
21	-0.802299999999903	-0.7769453318988732	-0.02535466810102982
	Initial_Dif	After_LSE_Dif	Estimation_errors
Mean	-0.74575909090908	-0.7459228941995025	0.0001638032904226382
STD	0.12154947985786904	0.09593106202628338	0.07439715051714309
Max	-0.4711999999999854	-0.5413752503190425	0.113416377912684
Min	-0.9388999999999967	-0.8354423145814514	-0.1354551418448683
1/n1/nsgdsg
